entity_1,entity_2,relation_type,frequency
Securities and Exchange Commission,United States,co_occurrence,3193
United States,European Union,co_occurrence,2420
United States,United Kingdom,co_occurrence,2270
China,United States,co_occurrence,2264
European Union,United Kingdom,co_occurrence,1761
Securities and Exchange Commission,European Union,co_occurrence,1696
Canada,United States,co_occurrence,1679
Securities and Exchange Commission,United Kingdom,co_occurrence,1619
Securities and Exchange Commission,China,co_occurrence,1607
China,European Union,co_occurrence,1552
China,United Kingdom,co_occurrence,1388
Securities and Exchange Commission,Canada,co_occurrence,1273
Canada,United Kingdom,co_occurrence,1084
United States,Russia,co_occurrence,1059
United States,Foreign Corrupt Practices Act,co_occurrence,1023
China,Canada,co_occurrence,1008
Canada,European Union,co_occurrence,992
United States,India,co_occurrence,992
United States,Japan,co_occurrence,974
United States,Australia,co_occurrence,934
United States,Ukraine,co_occurrence,851
Environmental Protection Agency,United States,co_occurrence,836
Brexit,United States,co_occurrence,831
United States,the Tax Cuts and Jobs Act,co_occurrence,819
Mexico,United States,co_occurrence,813
China,Russia,co_occurrence,812
China,India,co_occurrence,804
Brexit,United Kingdom,co_occurrence,804
United States,the California Consumer Privacy Act,co_occurrence,803
Brexit,European Union,co_occurrence,795
Securities and Exchange Commission,Japan,co_occurrence,792
United States,Brazil,co_occurrence,792
Securities and Exchange Commission,Russia,co_occurrence,787
United States,Management s Discussion and Analysis of Financial Condition,co_occurrence,786
United States,Federal Reserve,co_occurrence,781
United States,Euro,co_occurrence,781
European Union,Russia,co_occurrence,779
China,Japan,co_occurrence,760
Securities and Exchange Commission,Australia,co_occurrence,759
Securities and Exchange Commission,India,co_occurrence,735
Australia,United Kingdom,co_occurrence,735
Ukraine,Russia,co_occurrence,728
Germany,United States,co_occurrence,713
European Union,India,co_occurrence,705
India,United Kingdom,co_occurrence,699
Russia,United Kingdom,co_occurrence,692
European Union,Japan,co_occurrence,685
European Union,the California Consumer Privacy Act,co_occurrence,683
European Union,Foreign Corrupt Practices Act,co_occurrence,682
Securities and Exchange Commission,Foreign Corrupt Practices Act,co_occurrence,673
United States,U.S. Treasury,co_occurrence,672
Securities and Exchange Commission,Ukraine,co_occurrence,657
United States,GHG,co_occurrence,655
Japan,United Kingdom,co_occurrence,650
United States,ESG,co_occurrence,648
European Union,Ukraine,co_occurrence,647
China,Foreign Corrupt Practices Act,co_occurrence,643
China,Ukraine,co_occurrence,633
Food and Drug Administration,United States,co_occurrence,633
China,Australia,co_occurrence,631
European Union,Australia,co_occurrence,631
Securities and Exchange Commission,Federal Reserve,co_occurrence,629
Securities and Exchange Commission,the Tax Cuts and Jobs Act,co_occurrence,626
China,Brazil,co_occurrence,613
Canada,Australia,co_occurrence,609
Securities and Exchange Commission,Management s Discussion and Analysis of Financial Condition,co_occurrence,607
Canada,Mexico,co_occurrence,607
Germany,United Kingdom,co_occurrence,603
Securities and Exchange Commission,Germany,co_occurrence,601
Securities and Exchange Commission,the California Consumer Privacy Act,co_occurrence,596
Securities and Exchange Commission,U.S. Treasury,co_occurrence,595
China,Mexico,co_occurrence,591
Securities and Exchange Commission,Brexit,co_occurrence,586
Securities and Exchange Commission,Mexico,co_occurrence,583
Federal Trade Commission,United States,co_occurrence,578
the California Consumer Privacy Act,United Kingdom,co_occurrence,568
United States,Department of Justice,co_occurrence,565
Securities and Exchange Commission,Brazil,co_occurrence,563
United Kingdom,Brazil,co_occurrence,563
Foreign Corrupt Practices Act,United Kingdom,co_occurrence,562
Securities and Exchange Commission,Euro,co_occurrence,560
United States,Critical Accounting Policies,co_occurrence,554
United States,Medicare,co_occurrence,553
Euro,United Kingdom,co_occurrence,547
Securities and Exchange Commission,Environmental Protection Agency,co_occurrence,543
Securities and Exchange Commission,Principal Accounting Fees and Services,co_occurrence,542
European Union,Brazil,co_occurrence,541
Germany,China,co_occurrence,535
Ukraine,United Kingdom,co_occurrence,530
United States,Principal Accounting Fees and Services,co_occurrence,526
Canada,Japan,co_occurrence,520
European Union,Euro,co_occurrence,520
United States,FCPA,co_occurrence,516
Mexico,United Kingdom,co_occurrence,515
the Tax Cuts and Jobs Act,European Union,co_occurrence,514
Canada,India,co_occurrence,513
United States,the U.S. Congress,co_occurrence,511
Canada,Russia,co_occurrence,510
the Tax Cuts and Jobs Act,United Kingdom,co_occurrence,507
Securities and Exchange Commission,ESG,co_occurrence,504
Singapore,United States,co_occurrence,504
United States,States,co_occurrence,504
United States,the Delaware General Corporation Law,co_occurrence,503
China,the California Consumer Privacy Act,co_occurrence,502
China,Brexit,co_occurrence,502
Securities and Exchange Commission,Critical Accounting Policies,co_occurrence,492
Germany,European Union,co_occurrence,491
China,Euro,co_occurrence,488
Canada,Brazil,co_occurrence,488
Mexico,European Union,co_occurrence,484
Food and Drug Administration,European Union,co_occurrence,476
United States,Cybersecurity,co_occurrence,474
Securities and Exchange Commission,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,473
China,the Tax Cuts and Jobs Act,co_occurrence,464
United States,Ireland,co_occurrence,463
United States,the Private Securities Litigation Reform Act,co_occurrence,462
United States,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,461
Medicaid,United States,co_occurrence,458
United States,Credit Agreement,co_occurrence,457
Securities and Exchange Commission,Department of Justice,co_occurrence,447
Moody s Investors Service,United States,co_occurrence,446
North American,United States,co_occurrence,445
United States,Corporate,co_occurrence,444
United States,climate change,co_occurrence,441
Securities and Exchange Commission,Food and Drug Administration,co_occurrence,440
Medicaid,Medicare,co_occurrence,439
Securities and Exchange Commission,Federal Trade Commission,co_occurrence,436
ESG,European Union,co_occurrence,433
European Union,Federal Reserve,co_occurrence,433
Japan,Australia,co_occurrence,433
United States,the U.S. Dollar,co_occurrence,432
Germany,Canada,co_occurrence,431
France,United States,co_occurrence,431
United States,Credit Facility,co_occurrence,430
Security Ownership of Certain Beneficial Owners and Management,Principal Accounting Fees and Services,co_occurrence,430
Federal Trade Commission,European Union,co_occurrence,428
India,Brazil,co_occurrence,428
Federal Reserve,United Kingdom,co_occurrence,428
Securities and Exchange Commission,States,co_occurrence,427
Securities and Exchange Commission,Singapore,co_occurrence,426
Securities and Exchange Commission,GHG,co_occurrence,426
Securities and Exchange Commission,Corporate,co_occurrence,424
Financial Reporting,United States,co_occurrence,424
European Union,Management s Discussion and Analysis of Financial Condition,co_occurrence,418
Securities and Exchange Commission,Financial Reporting,co_occurrence,414
Environmental Protection Agency,GHG,co_occurrence,414
United States,Taiwan,co_occurrence,414
Securities and Exchange Commission,Disagreements with Accountants on Accounting and Financial Disclosure,co_occurrence,413
United States,Office of Foreign Assets Control,co_occurrence,411
China,Taiwan,co_occurrence,410
European Union,FCPA,co_occurrence,410
China,Management s Discussion and Analysis of Financial Condition,co_occurrence,406
Moody s,United States,co_occurrence,406
United States,Healthcare,co_occurrence,406
Disagreements with Accountants on Accounting and Financial Disclosure,United States,co_occurrence,403
Canada,Ukraine,co_occurrence,402
China,Singapore,co_occurrence,401
Securities and Exchange Commission,the Private Securities Litigation Reform Act,co_occurrence,400
Securities and Exchange Commission,FCPA,co_occurrence,400
United States,FINANCIAL STATEMENT SCHEDULES,co_occurrence,399
Securities and Exchange Commission,FINANCIAL STATEMENT SCHEDULES,co_occurrence,397
Food and Drug Administration,United Kingdom,co_occurrence,395
India,Russia,co_occurrence,392
United States,Item 1A. Risk Factors,co_occurrence,391
European Union,the Delaware General Corporation Law,co_occurrence,390
European Union,the U.S. Congress,co_occurrence,390
United States,Stockholder Matters,co_occurrence,388
China,ESG,co_occurrence,386
Federal Trade Commission,United Kingdom,co_occurrence,385
Securities and Exchange Commission,Credit Agreement,co_occurrence,384
the U.S. Supreme Court,United States,co_occurrence,383
Securities and Exchange Commission,Stockholder Matters,co_occurrence,383
China,Food and Drug Administration,co_occurrence,383
Management s Discussion and Analysis of Financial Condition,United Kingdom,co_occurrence,382
United States,Liquidity and Capital Resources,co_occurrence,380
Massachusetts,United States,co_occurrence,379
United States,Restricted,co_occurrence,379
France,United Kingdom,co_occurrence,376
Canada,Brexit,co_occurrence,374
Securities and Exchange Commission,Credit Facility,co_occurrence,372
European Union,Department of Justice,co_occurrence,372
Pennsylvania,United States,co_occurrence,370
China,Environmental Protection Agency,co_occurrence,370
United States,Colorado,co_occurrence,370
Securities and Exchange Commission,Ireland,co_occurrence,369
United States,Australian,co_occurrence,369
Securities and Exchange Commission,the U.S. Congress,co_occurrence,367
Regulation S-K,United States,co_occurrence,366
European Union,Medicare,co_occurrence,364
Securities and Exchange Commission,Liquidity and Capital Resources,co_occurrence,363
China,FCPA,co_occurrence,363
Singapore,United Kingdom,co_occurrence,363
Russia,Brazil,co_occurrence,362
Securities and Exchange Commission,Cybersecurity,co_occurrence,361
Securities and Exchange Commission,the Delaware General Corporation Law,co_occurrence,359
Securities and Exchange Commission,Restricted,co_occurrence,359
Food and Drug Administration,Medicare,co_occurrence,359
United States,Netherlands,co_occurrence,359
Medicaid,Food and Drug Administration,co_occurrence,358
FCPA,United Kingdom,co_occurrence,358
Asian,United States,co_occurrence,357
United States,Foreign Currency Translation,co_occurrence,357
Japan,India,co_occurrence,357
Securities and Exchange Commission,Moody s Investors Service,co_occurrence,356
Disagreements with Accountants on Accounting and Financial Disclosure,Principal Accounting Fees and Services,co_occurrence,355
Illinois,United States,co_occurrence,355
Canada,Euro,co_occurrence,355
Securities and Exchange Commission,France,co_occurrence,354
Department of Justice,United Kingdom,co_occurrence,354
United Kingdom,Ireland,co_occurrence,354
United States,Contingencies,co_occurrence,353
United States,Intangible Assets,co_occurrence,353
United States,New Jersey,co_occurrence,352
ESG,United Kingdom,co_occurrence,350
Securities and Exchange Commission,Item 1A. Risk Factors,co_occurrence,349
Securities and Exchange Commission,North American,co_occurrence,349
Hong Kong,United States,co_occurrence,349
United States,General Counsel,co_occurrence,349
Securities and Exchange Commission,Medicare,co_occurrence,348
Canada,Foreign Corrupt Practices Act,co_occurrence,347
Singapore,European Union,co_occurrence,345
the U.S. Congress,United Kingdom,co_occurrence,345
artificial intelligence,United States,co_occurrence,344
United States,the London Interbank Offered Rate,co_occurrence,344
Securities and Exchange Commission,General Counsel,co_occurrence,343
Canada,the California Consumer Privacy Act,co_occurrence,343
Securities and Exchange Commission,Regulation S-K,co_occurrence,342
United States,FERC,co_occurrence,342
Securities and Exchange Commission,Moody s,co_occurrence,341
Mexico,Brazil,co_occurrence,340
Australia,Brazil,co_occurrence,340
the Financial Conduct Authority,United States,co_occurrence,339
Medicare,United Kingdom,co_occurrence,339
Disagreements with Accountants on Accounting and Financial Disclosure,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,338
Medicaid,European Union,co_occurrence,338
European Union,Ireland,co_occurrence,338
Germany,Australia,co_occurrence,337
United States,Management s Report on Internal Control,co_occurrence,337
Environmental Protection Agency,European Union,co_occurrence,336
Environmental Protection Agency,Canada,co_occurrence,336
United States,Ohio,co_occurrence,336
Pennsylvania,Securities and Exchange Commission,co_occurrence,334
U.S. Treasury,United Kingdom,co_occurrence,334
Securities and Exchange Commission,Foreign Currency Translation,co_occurrence,333
Securities and Exchange Commission,Management s Report on Internal Control,co_occurrence,333
Acquisitions,United States,co_occurrence,333
United States,Revolving Credit Facility,co_occurrence,333
India,Australia,co_occurrence,333
United States,E.U.,co_occurrence,332
Australia,Russia,co_occurrence,332
Securities and Exchange Commission,Taiwan,co_occurrence,327
United States,Maryland,co_occurrence,327
United States,Significant Accounting Policies,co_occurrence,327
Canada,the Tax Cuts and Jobs Act,co_occurrence,326
European Union,Cybersecurity,co_occurrence,326
Securities and Exchange Commission,climate change,co_occurrence,325
ESG,Russia,co_occurrence,324
Securities and Exchange Commission,Colorado,co_occurrence,323
