entity_1,entity_2,relation_type,frequency
Russia,Ukraine,threatens,95
United States,Russia,sanctions,71
United States,China,opposes,40
Federal Reserve,interest rates,controls,39
United States,China,sanctions,38
China,Taiwan,threatens,38
European Union,Russia,sanctions,33
Russia,Ukraine,opposes,24
United Kingdom,Russia,sanctions,24
artificial intelligence,cybersecurity,threatens,22
United States,China,trades_with,21
Israel,Hamas,opposes,20
United States,Belarus,sanctions,17
United States,China,threatens,12
United States,China,regulates,12
Apple Inc.,Ireland,operates_in,11
Federal Reserve,JPMorgan Chase,regulates,11
Dodd-Frank Act,JPMorgan Chase,regulates,11
United States,tariffs,controls,11
China,United States,opposes,11
China,United States,trades_with,11
interest rates,JPMorgan Chase,influences,10
artificial intelligence,cybersecurity threats,influences,10
artificial intelligence,cyberattacks,influences,10
Microsoft,LinkedIn,controls,9
Microsoft,artificial intelligence,develops,9
Apple Inc.,component suppliers,depends_on,9
Apple Inc.,cellular network carriers,depends_on,9
United States,Iran,sanctions,9
OECD,Pillar Two,develops,9
United States,Mexico,trades_with,9
Apple Inc.,smartphone market,operates_in,8
Apple Inc.,personal computer market,operates_in,8
Microsoft,cloud computing,develops,8
Basel III,JPMorgan Chase,regulates,8
financial technology companies,JPMorgan Chase,competes_with,8
climate change,Apple Inc.,threatens,8
Nvidia,China,operates_in,8
credit spreads,JPMorgan Chase,influences,8
European Union,Microsoft,regulates,8
Hamas,Israel,threatens,8
United States,Canada,trades_with,8
Nvidia,AI,develops,7
Nvidia,Hong Kong,operates_in,7
FDIC,JPMorgan Chase,regulates,7
Apple Inc.,Silicon Valley,operates_in,7
Apple Inc.,outsourcing partners,depends_on,7
Apple Inc.,digital rights management,develops,7
United States,Cuba,sanctions,7
United States,Syria,sanctions,7
United States,tariffs,develops,7
Audit Committee,cybersecurity,controls,7
geopolitical conflicts,supply chain,disrupts,7
OPEC,crude oil,controls,7
OPEC,oil,controls,7
Apple Inc.,United States,operates_in,6
Apple Inc.,tablet market,operates_in,6
Microsoft,GitHub,controls,6
open source software,Microsoft,competes_with,6
climate change,California,threatens,6
climate change,JPMorgan Chase,threatens,6
tariffs,Apple Inc.,threatens,6
Android,Apple Inc.,competes_with,6
Windows,Apple Inc.,competes_with,6
Apple Inc.,third-party developers,depends_on,6
the U.S. Dollar,Apple Inc.,influences,6
Nvidia,Gaming,operates_in,6
Nvidia,Automotive,operates_in,6
Nvidia,Taiwan,operates_in,6
terrorism,Apple Inc.,threatens,6
war,Apple Inc.,threatens,6
Volcker Rule,JPMorgan Chase,regulates,6
United Kingdom,European Union,opposes,6
OECD,global minimum tax,develops,6
tariffs,China,threatens,6
the Paris Agreement,greenhouse gas emissions,regulates,6
Apple Inc.,China,depends_on,5
European Union,Apple Inc.,regulates,5
nation-states,Microsoft,threatens,5
Nvidia,Taiwan,depends_on,5
Nvidia,Israel,operates_in,5
climate change,Nvidia,threatens,5
cyber attacks,JPMorgan Chase,threatens,5
cyber-criminals,JPMorgan Chase,threatens,5
ransomware,JPMorgan Chase,threatens,5
inflation,JPMorgan Chase,threatens,5
JPMorgan Chase,central counterparties,depends_on,5
distributed denial-of-service attacks,JPMorgan Chase,threatens,5
U.S. Internal Revenue Service,Apple Inc.,regulates,5
unemployment,JPMorgan Chase,threatens,5
Apple Inc.,contract manufacturers,depends_on,5
terrorism,JPMorgan Chase,threatens,5
climate change,natural disasters,influences,5
China,Microsoft,regulates,5
United States,Crimea,sanctions,5
United States,North Korea,sanctions,5
Microsoft,Internet of Things,develops,5
Nvidia,Professional Visualization,operates_in,5
Nvidia,GPU,develops,5
Apple Inc.,R&D,depends_on,5
European Union,JPMorgan Chase,regulates,5
cyberattacks,JPMorgan Chase,threatens,5
natural disasters,Apple Inc.,threatens,5
pandemics,Apple Inc.,threatens,5
Nvidia,Intel,trades_with,5
Nvidia,United States,operates_in,5
Nvidia,United Kingdom,operates_in,5
Broadcom,VMware,controls,5
Board of Directors,Audit Committee,controls,5
United States,Mexico,threatens,5
United States,Mexico,regulates,5
United States,Canada,regulates,5
climate change,wildfires,influences,5
greenhouse gas emissions,climate change,influences,5
Russia-Ukraine conflict,natural gas,disrupts,5
Environmental Protection Agency,PFAS,regulates,5
President Trump,the Paris Agreement,opposes,5
the Democratic Republic of Congo,conflict minerals,produces,5
tariffs,Canada,threatens,5
artificial intelligence,Cybersecurity,threatens,5
OPEC,Crude oil,controls,5
Apple Inc.,India,depends_on,4
Apple Inc.,Taiwan,depends_on,4
Apple Inc.,Vietnam,depends_on,4
Apple Inc.,Android,competes_with,4
Apple Inc.,Windows,competes_with,4
Securities and Exchange Commission,Microsoft,regulates,4
state-sponsored organizations,Microsoft,threatens,4
United States,Nvidia,regulates,4
Nvidia,Mellanox,controls,4
Nvidia,California,operates_in,4
United Kingdom,Nvidia,regulates,4
GSIB surcharge,JPMorgan Chase,regulates,4
Stress Capital Buffer,JPMorgan Chase,regulates,4
credit rating agencies,JPMorgan Chase,influences,4
hostile countries,JPMorgan Chase,threatens,4
ransomware,Apple Inc.,threatens,4
hacktivists,JPMorgan Chase,threatens,4
JPMorgan Chase Co.,JPMorgan Chase Holdings LLC,controls,4
JPMorgan Chase,vendors,depends_on,4
student loans,JPMorgan Chase,threatens,4
Apple Inc.,encryption,develops,4
payment card industry,Apple Inc.,regulates,4
Apple Inc.,App Store,controls,4
Microsoft,Apple,competes_with,4
Microsoft,Google,competes_with,4
Microsoft,Amazon,competes_with,4
Microsoft,Oracle,competes_with,4
Microsoft,IBM,competes_with,4
Microsoft,SAP,competes_with,4
Microsoft,VMware,competes_with,4
Microsoft,Red Hat,competes_with,4
malware,JPMorgan Chase,threatens,4
Microsoft,OEM partners,competes_with,4
European Union,Windows,regulates,4
Foreign Corrupt Practices Act,Microsoft,regulates,4
TCJA,Nvidia,regulates,4
outsourcing partners,Asian,operates_in,4
Microsoft,Xbox,develops,4
Microsoft,Surface,develops,4
Microsoft,Office 365,develops,4
liquidity coverage ratio,JPMorgan Chase,regulates,4
net stable funding ratio,JPMorgan Chase,regulates,4
Apple Inc.,Asian,depends_on,4
Apple Inc.,content providers,depends_on,4
Internal Revenue Service,Apple Inc.,regulates,4
hackers,Microsoft,threatens,4
Office of the Comptroller of the Currency,JPMorgan Chase Bank N.A.,regulates,4
Securities and Exchange Commission,J.P. Morgan Securities LLC,regulates,4
the Financial Conduct Authority,J.P. Morgan Securities plc,regulates,4
Bank Secrecy Act,JPMorgan Chase,regulates,4
Brexit,United Kingdom,disrupts,4
Foreign Corrupt Practices Act,JPMorgan Chase,regulates,4
U.K. Bribery Act,JPMorgan Chase,regulates,4
Apple Inc.,resellers,depends_on,4
tax laws,Apple Inc.,regulates,4
labor laws,Apple Inc.,regulates,4
anti-corruption laws,Apple Inc.,regulates,4
Nvidia,British Virgin Islands,operates_in,4
Nvidia,Samsung,opposes,4
Nvidia,Qualcomm,opposes,4
housing prices,JPMorgan Chase,influences,4
sanctions,Russia,threatens,4
Hewlett Packard Enterprise,Juniper Networks,controls,4
United States,Canada,sanctions,4
President Trump,tariffs,controls,4
artificial intelligence,cybersecurity incidents,influences,4
United States,Huawei,sanctions,4
Take-Two Interactive,Zynga,controls,4
United Kingdom,European Union,trades_with,4
generative AI,cyberattacks,influences,4
China,germanium,controls,4
China,gallium,controls,4
United States,Canada,threatens,4
the U.S. Department of Commerce,China,regulates,4
COVID-19 pandemic,supply chain,disrupts,4
Canada,Russia,sanctions,4
cyberattacks,Information Technology,threatens,4
tariffs,Mexico,threatens,4
hydraulic fracturing,natural gas,produces,4
IRA,renewable energy,funds,4
Audit Committee,cybersecurity threats,controls,4
United States,Venezuela,sanctions,4
OECD,Pillar 2,develops,4
Hurricane Maria,Entergy Corporation,disrupts,4
Apple Inc.,Japan,depends_on,3
Apple Inc.,South Korea,depends_on,3
COVID-19 pandemic,Apple Inc.,disrupts,3
Apple Inc.,Singapore,operates_in,3
Organisation for Economic Co-operation and Development,Apple Inc.,regulates,3
Microsoft,Activision Blizzard,controls,3
Microsoft,Dell,trades_with,3
Microsoft,Hewlett-Packard,trades_with,3
Microsoft,Lenovo,trades_with,3
Microsoft,OEMs,depends_on,3
European Union,Nvidia,regulates,3
China,Nvidia,regulates,3
cryptocurrency,Nvidia,influences,3
tariffs,JPMorgan Chase,threatens,3
recession,JPMorgan Chase,threatens,3
PlayStation,Apple Inc.,competes_with,3
Nintendo,Apple Inc.,competes_with,3
Xbox,Apple Inc.,competes_with,3
the U.S. Department of Commerce,Nvidia,regulates,3
terrorist organizations,JPMorgan Chase,threatens,3
JPMorgan Chase Co.,"JPMorgan Chase Bank, N.A.",controls,3
economic sanctions,JPMorgan Chase,regulates,3
commercial real estate,JPMorgan Chase,threatens,3
oil and gas,JPMorgan Chase,influences,3
JPMorgan Chase,employees,depends_on,3
antitrust laws,JPMorgan Chase,regulates,3
Microsoft,Cisco Systems,competes_with,3
Jen-Hsun Huang,Nvidia,controls,3
central counterparties,JPMorgan Chase,depends_on,3
natural disasters,JPMorgan Chase,threatens,3
pandemics,JPMorgan Chase,threatens,3
inflation,JPMorgan Chase,influences,3
JPMorgan Chase,custodians,depends_on,3
resolution plan,JPMorgan Chase,regulates,3
privacy laws,JPMorgan Chase,regulates,3
COVID-19,Apple Inc.,disrupts,3
privacy laws,Apple Inc.,regulates,3
Microsoft,Windows,develops,3
Microsoft,Azure,develops,3
GDPR,Microsoft,regulates,3
Privacy Shield,Microsoft,regulates,3
Internal Revenue Service,Microsoft,regulates,3
COVID-19,Microsoft,disrupts,3
Asian,Microsoft,supplies,3
California,Microsoft,regulates,3
Germany,Microsoft,regulates,3
Nvidia,Data Center,operates_in,3
Foreign Corrupt Practices Act,Nvidia,regulates,3
anti-money laundering laws,JPMorgan Chase,regulates,3
anti-corruption laws,JPMorgan Chase,regulates,3
Comprehensive Capital Analysis and Review,JPMorgan Chase,regulates,3
JPMorgan Chase,derivatives,trades_with,3
United States,JPMorgan Chase,regulates,3
Nvidia,deep learning,develops,3
OFAC,JPMorgan Chase,regulates,3
unemployment,JPMorgan Chase,influences,3
Apple Inc.,retailers,depends_on,3
Apple Inc.,wholesalers,depends_on,3
immigration laws,Microsoft,regulates,3
the Federal Deposit Insurance Corporation,JPMorgan Chase Bank N.A.,regulates,3
the Commodity Futures Trading Commission,JPMorgan Chase,regulates,3
the Consumer Financial Protection Bureau,JPMorgan Chase,regulates,3
Basel Committee,Basel III,develops,3
Brexit,European Union,disrupts,3
earthquakes,California,threatens,3
Apple Inc.,third-party software developers,depends_on,3
Apple Inc.,patents,controls,3
Apple Inc.,iPhone,produces,3
Microsoft,Salesforce.com,competes_with,3
Microsoft,Facebook,competes_with,3
Microsoft,Nintendo,competes_with,3
Microsoft,Sony,competes_with,3
Microsoft,Electronic Arts,competes_with,3
Microsoft,Activision Blizzard,competes_with,3
CCAR,JPMorgan Chase,regulates,3
Brexit,JPMorgan Chase,threatens,3
European Central Bank,JPMorgan Chase,regulates,3
Nvidia,Pascal,develops,3
data privacy laws,Apple Inc.,regulates,3
environmental laws,Apple Inc.,regulates,3
anti-competition regulations,Apple Inc.,regulates,3
Apple Inc.,U.S. International Trade Commission,operates_in,3
financial crisis,JPMorgan Chase,threatens,3
Apple Inc.,iOS,develops,3
natural disasters,supply chain,disrupts,3
the U.S. Department of Commerce,Huawei,sanctions,3
United States,Mexico,sanctions,3
OECD,BEPS,develops,3
Federal Trade Commission,Gen Digital,regulates,3
OECD,Pillar Two global minimum tax,develops,3
Taiwan,semiconductors,produces,3
United States,Russia,opposes,3
China,semiconductor industry,develops,3
AI,cybersecurity,threatens,3
Chief Information Security Officer,cybersecurity program,controls,3
China,Verisign,regulates,3
Russia,oil,produces,3
CHIPS Act,semiconductor industry,funds,3
European Union,Meta Platforms,regulates,3
competitors,artificial intelligence,develops,3
European Union,Adobe Inc.,regulates,3
United States,semiconductor manufacturing,regulates,3
artificial intelligence,Cybersecurity Threats,influences,3
artificial intelligence,cyberattacks,develops,3
United States,China,influences,3
climate change,Panama Canal,disrupts,3
Chief Information Security Officer,cybersecurity,controls,3
California,CCPA,develops,3
Russia,Ukraine,disrupts,3
climate change,hurricanes,influences,3
Audit Committee,information security,controls,3
port labor disputes,supply chain,disrupts,3
K. Rupert Murdoch,Murdoch Family Trust,controls,3
Lachlan K. Murdoch,Fox Corporation,controls,3
Lachlan K. Murdoch,News Corp,controls,3
climate change,water,threatens,3
Axon Enterprise,Patrick W. Smith,depends_on,3
tariffs,Axon Enterprise,threatens,3
ransomware,Axon Enterprise,threatens,3
Ukraine,Axon Enterprise,disrupts,3
Gaza,Axon Enterprise,disrupts,3
Audit Committee,data privacy,controls,3
Chief Legal Officer,data privacy,controls,3
CIO,Audit Committee,influences,3
CISO,Audit Committee,influences,3
T-Mobile,Sprint,controls,3
pandemics,supply chain,disrupts,3
the U.S. Supreme Court,Environmental Protection Agency,regulates,3
artificial intelligence,cybersecurity,influences,3
United States,the Paris Agreement,opposes,3
inflation,raw materials,influences,3
United States,China,competes_with,3
Cigna,Express Scripts,controls,3
the Organization of Petroleum Exporting Countries,crude oil,controls,3
OPEC,natural gas,influences,3
hurricanes,shopping centers,threatens,3
CMS,Medicare Advantage,controls,3
European Union,natural gas,regulates,3
DOE,spent nuclear fuel,controls,3
Environmental Protection Agency,greenhouse gas emissions,regulates,3
Securities and Exchange Commission,AEP,regulates,3
Florida,Canada,trades_with,3
OPEC,Oil,controls,3
Apple Inc.,PlayStation,competes_with,2
Apple Inc.,Nintendo,competes_with,2
Apple Inc.,Xbox,competes_with,2
Digital Markets Act,Apple Inc.,regulates,2
Apple Inc.,Google LLC,depends_on,2
Apple Inc.,semiconductors,depends_on,2
the U.S. Department of Commerce,semiconductors,regulates,2
Apple Inc.,artificial intelligence,develops,2
Apple Inc.,global supply chain,depends_on,2
Microsoft,OpenAI,allies_with,2
malware,Microsoft,threatens,2
Microsoft,Financial Services,operates_in,2
Microsoft,government,operates_in,2
Microsoft,cybersecurity,develops,2
Nvidia,China,trades_with,2
